JOMP-14-33-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
AJP-4-312-g002	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
jnnp236463fig2	the 3d image of the brain in a patient with a high signal intensity in the right lobe of the.the 3d image of the brain in a patient with a high signal intensity in the right frontal lobe and.the 3d image of the brain in a patient with a high signal intensity in the left frontal lobe and
1477-7819-11-206-2	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe <EOS>
1752-1947-4-134-4	computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney with
OJO-2-39-g002	clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a.clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a
1752-1947-8-26-1	mri of the brain in a patient with a high signal intensity in the right lobe of the right lobe.mri of the brain in a patient with a high signal intensity in the right lobe of the right frontal.mri of the brain in a patient with a high signal intensity in the right lobe of the left lobe
cru-0004-0031-g01	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
TOMINFOJ-2-21_F9	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
cro-0006-0293-g01	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
IJPS-41-175-g006	intraoperative view of the right eye of the patient in a patient with a history of a patient with a.intraoperative view of the right eye of the patient in a patient with a history of a patient in the.intraoperative view of the right eye of the patient in a patient with a history of a patient in a
1757-1626-2-9346-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
AER-9-118-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
ceo-8-298-g004	chest x-ray of the abdomen showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the abdomen showing a large mass in the right upper lobe of the right lower lobe with.chest x-ray of the abdomen showing a large mass in the right lower lobe of the right lower lobe and
OL-05-06-1833-g00	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
JNRP-1-17-g001	clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
OL-09-02-0920-g02	preoperative x-ray of the left knee showing a large left hip and left lower lobe and left lower lobe. <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe and left lower region <EOS>
crj-02-155-g002	histological section of the biopsy showing a giant cell carcinoma in the dermis . <EOS>
IJPS-48-129-g016	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
SNI-4-17-g001	axial and coronal t2-weighted mr images of the brain showing a large lesion in the right lobe of the right.axial and coronal t2-weighted mr images of the brain showing a large lesion in the right lobe of the left.axial and coronal t2-weighted mr images of the brain showing a large lesion in the right frontal lobe with a
13244_2015_421_Fig19_HTML	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
